Downloading and preparing dataset glue/qnli (download: 10.14 MiB, generated: 27.11 MiB, post-processed: Unknown size, total: 37.24 MiB) to /home/draj5/.cache/huggingface/datasets/glue/qnli/1.0.0/dacbe3125aa31d7f70367a07a8a9e72a5a0bfeb5fc42e75c9db75b96da6053ad...
Dataset glue downloaded and prepared to /home/draj5/.cache/huggingface/datasets/glue/qnli/1.0.0/dacbe3125aa31d7f70367a07a8a9e72a5a0bfeb5fc42e75c9db75b96da6053ad. Subsequent calls will reuse this data.
[Train] Epoch:   0, Total: 104743, Accuracy : 0.8591, Loss: 0.1454
[Eval] Epoch:   0, Total:   5463, Accuracy : 0.9041, Loss: 0.4697
[Train] Epoch:   1, Total: 104743, Accuracy : 0.9173, Loss: 0.2509
[Eval] Epoch:   1, Total:   5463, Accuracy : 0.9233, Loss: 0.3580
[Train] Epoch:   2, Total: 104743, Accuracy : 0.9432, Loss: 0.2751
[Eval] Epoch:   2, Total:   5463, Accuracy : 0.9228, Loss: 0.5632
[Train] Epoch:   3, Total: 104743, Accuracy : 0.9608, Loss: 0.0679
[Eval] Epoch:   3, Total:   5463, Accuracy : 0.9246, Loss: 0.5223
[Train] Epoch:   4, Total: 104743, Accuracy : 0.9735, Loss: 0.0280
[Eval] Epoch:   4, Total:   5463, Accuracy : 0.9198, Loss: 0.5861
[Train] Epoch:   5, Total: 104743, Accuracy : 0.9819, Loss: 0.1713
[Eval] Epoch:   5, Total:   5463, Accuracy : 0.9237, Loss: 0.5784
[Train] Epoch:   6, Total: 104743, Accuracy : 0.9872, Loss: 0.1184
[Eval] Epoch:   6, Total:   5463, Accuracy : 0.9257, Loss: 0.6822
[Train] Epoch:   7, Total: 104743, Accuracy : 0.9902, Loss: 0.1254
[Eval] Epoch:   7, Total:   5463, Accuracy : 0.9260, Loss: 0.6493
[Train] Epoch:   8, Total: 104743, Accuracy : 0.9924, Loss: 0.0018
[Eval] Epoch:   8, Total:   5463, Accuracy : 0.9244, Loss: 0.6578
[Train] Epoch:   9, Total: 104743, Accuracy : 0.9929, Loss: 0.0009
[Eval] Epoch:   9, Total:   5463, Accuracy : 0.9240, Loss: 0.6694
[Train] Epoch:  10, Total: 104743, Accuracy : 0.9773, Loss: 0.2794
[Eval] Epoch:  10, Total:   5463, Accuracy : 0.9211, Loss: 0.6560
[Train] Epoch:  11, Total: 104743, Accuracy : 0.9804, Loss: 0.1868
[Eval] Epoch:  11, Total:   5463, Accuracy : 0.9229, Loss: 0.6843
[Train] Epoch:  12, Total: 104743, Accuracy : 0.9845, Loss: 0.0781
[Eval] Epoch:  12, Total:   5463, Accuracy : 0.9200, Loss: 0.6659
[Train] Epoch:  13, Total: 104743, Accuracy : 0.9881, Loss: 0.0685
[Eval] Epoch:  13, Total:   5463, Accuracy : 0.9246, Loss: 1.0064
[Train] Epoch:  14, Total: 104743, Accuracy : 0.9926, Loss: 0.0350
[Eval] Epoch:  14, Total:   5463, Accuracy : 0.9231, Loss: 0.9226
[Train] Epoch:  15, Total: 104743, Accuracy : 0.9939, Loss: 0.0005
[Eval] Epoch:  15, Total:   5463, Accuracy : 0.9297, Loss: 0.9005
[Train] Epoch:  16, Total: 104743, Accuracy : 0.9960, Loss: 0.0003
[Eval] Epoch:  16, Total:   5463, Accuracy : 0.9255, Loss: 0.7423
[Train] Epoch:  17, Total: 104743, Accuracy : 0.9973, Loss: 0.0285
[Eval] Epoch:  17, Total:   5463, Accuracy : 0.9262, Loss: 0.7332
[Train] Epoch:  18, Total: 104743, Accuracy : 0.9978, Loss: 0.0003
[Eval] Epoch:  18, Total:   5463, Accuracy : 0.9268, Loss: 0.7636
[Train] Epoch:  19, Total: 104743, Accuracy : 0.9979, Loss: 0.0003
[Eval] Epoch:  19, Total:   5463, Accuracy : 0.9275, Loss: 0.7626
{"epoch":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20],"train_loss":[0.32742022851307945,0.21428532086918103,0.15660381391325884,0.1117218044855579,0.08143063597284399,0.06189192008637017,0.04788101468751976,0.037241635806420474,0.032317362004059276,0.02861937859714903,0.07170825230782492,0.06342954874059605,0.053938839704062276,0.043714798051020055,0.0309332882098917,0.0254570518953984,0.017133549619850443,0.012723879936371947,0.010933760153176278,0.009906480679511524],"eval_loss":[0.250078245217717,0.21007378659276074,0.21731561703910662,0.24069148445025432,0.311759190893797,0.3148986375782379,0.3869724123803682,0.3900096638258113,0.40732708833245346,0.41492764131967413,0.3586353756660639,0.3515481440307096,0.37546700499085495,0.43230111747546945,0.43053592790762873,0.4802112569721134,0.4856218983145799,0.5005786608028778,0.5112840891761575,0.5050444070806153],"train_acc":[0.8590836619153547,0.9172737080282215,0.9432420304936845,0.9607611009804952,0.9735256771335554,0.981927193225323,0.9871590464279236,0.9902141431885663,0.9924386355174093,0.9929064472088827,0.9772586234879658,0.9803519089581165,0.9844762895849842,0.9881042169882475,0.9926200318875724,0.9938802593013376,0.9960474685659185,0.9972599600927986,0.99776596049378,0.9979282625091892],"eval_acc":[0.9040820062236866,0.923302214900238,0.9227530660809079,0.9245835621453414,0.9198242723778144,0.9236683141131247,0.9256818597840014,0.9260479589968882,0.924400512538898,0.9240344133260113,0.9211056196229178,0.9229361156873512,0.9200073219842577,0.9245835621453414,0.9231191652937946,0.9297089511257551,0.9254988101775581,0.9262310086033315,0.9267801574226615,0.9275123558484349]}
[Eval] Epoch:  11, Total:   5463, Accuracy : 0.9275, Loss: 0.7626
5463 5067 43.433819008932915
