Downloading and preparing dataset glue/qqp (download: 39.76 MiB, generated: 106.55 MiB, post-processed: Unknown size, total: 146.32 MiB) to /home/draj5/.cache/huggingface/datasets/glue/qqp/1.0.0/dacbe3125aa31d7f70367a07a8a9e72a5a0bfeb5fc42e75c9db75b96da6053ad...
Dataset glue downloaded and prepared to /home/draj5/.cache/huggingface/datasets/glue/qqp/1.0.0/dacbe3125aa31d7f70367a07a8a9e72a5a0bfeb5fc42e75c9db75b96da6053ad. Subsequent calls will reuse this data.
[Train] Epoch:   0, Total: 363846, Accuracy : 0.8566, Loss: 0.2476
[Eval] Epoch:   0, Total:  40430, Accuracy : 0.8897, Loss: 0.2873
[Train] Epoch:   1, Total: 363846, Accuracy : 0.9042, Loss: 0.1713
[Eval] Epoch:   1, Total:  40430, Accuracy : 0.9035, Loss: 0.2866
[Train] Epoch:   2, Total: 363846, Accuracy : 0.9237, Loss: 0.1730
[Eval] Epoch:   2, Total:  40430, Accuracy : 0.9100, Loss: 0.2625
[Train] Epoch:   3, Total: 363846, Accuracy : 0.9392, Loss: 0.0663
[Eval] Epoch:   3, Total:  40430, Accuracy : 0.9109, Loss: 0.2675
[Train] Epoch:   4, Total: 363846, Accuracy : 0.9515, Loss: 0.1088
[Eval] Epoch:   4, Total:  40430, Accuracy : 0.9128, Loss: 0.2999
[Train] Epoch:   5, Total: 363846, Accuracy : 0.9603, Loss: 0.1231
[Eval] Epoch:   5, Total:  40430, Accuracy : 0.9145, Loss: 0.3341
[Train] Epoch:   6, Total: 363846, Accuracy : 0.9673, Loss: 0.1801
[Eval] Epoch:   6, Total:  40430, Accuracy : 0.9142, Loss: 0.3200
[Train] Epoch:   7, Total: 363846, Accuracy : 0.9719, Loss: 0.1065
[Eval] Epoch:   7, Total:  40430, Accuracy : 0.9147, Loss: 0.3343
[Train] Epoch:   8, Total: 363846, Accuracy : 0.9748, Loss: 0.0485
[Eval] Epoch:   8, Total:  40430, Accuracy : 0.9149, Loss: 0.3465
[Train] Epoch:   9, Total: 363846, Accuracy : 0.9759, Loss: 0.0802
[Eval] Epoch:   9, Total:  40430, Accuracy : 0.9153, Loss: 0.3521
[Train] Epoch:  10, Total: 363846, Accuracy : 0.9635, Loss: 0.1088
[Eval] Epoch:  10, Total:  40430, Accuracy : 0.9125, Loss: 0.3198
[Train] Epoch:  11, Total: 363846, Accuracy : 0.9680, Loss: 0.0622
[Eval] Epoch:  11, Total:  40430, Accuracy : 0.9122, Loss: 0.3257
[Train] Epoch:  12, Total: 363846, Accuracy : 0.9740, Loss: 0.0615
[Eval] Epoch:  12, Total:  40430, Accuracy : 0.9135, Loss: 0.3019
[Train] Epoch:  13, Total: 363846, Accuracy : 0.9795, Loss: 0.0789
[Eval] Epoch:  13, Total:  40430, Accuracy : 0.9135, Loss: 0.3619
[Train] Epoch:  14, Total: 363846, Accuracy : 0.9836, Loss: 0.0253
[Eval] Epoch:  14, Total:  40430, Accuracy : 0.9145, Loss: 0.4403
[Train] Epoch:  15, Total: 363846, Accuracy : 0.9870, Loss: 0.0413
[Eval] Epoch:  15, Total:  40430, Accuracy : 0.9147, Loss: 0.4608
[Train] Epoch:  16, Total: 363846, Accuracy : 0.9897, Loss: 0.0893
[Eval] Epoch:  16, Total:  40430, Accuracy : 0.9162, Loss: 0.5025
[Train] Epoch:  17, Total: 363846, Accuracy : 0.9918, Loss: 0.0019
[Eval] Epoch:  17, Total:  40430, Accuracy : 0.9171, Loss: 0.5444
[Train] Epoch:  18, Total: 363846, Accuracy : 0.9931, Loss: 0.0171
[Eval] Epoch:  18, Total:  40430, Accuracy : 0.9161, Loss: 0.5745
[Train] Epoch:  19, Total: 363846, Accuracy : 0.9939, Loss: 0.0007
[Eval] Epoch:  19, Total:  40430, Accuracy : 0.9163, Loss: 0.5829
{"epoch":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20],"train_loss":[0.3118279423622307,0.22768228129076387,0.18594787850892158,0.1526415318973708,0.12576234614694,0.10389970500498968,0.08725112789138921,0.07596705672259112,0.06863093763621296,0.06555600301067852,0.09552484356343705,0.08482675155973174,0.06992284781476364,0.056237717151888106,0.04568850292998422,0.035983178482958116,0.02852608352498729,0.023189351436241273,0.019290051812210426,0.017798833525977026],"eval_loss":[0.2662011998929555,0.2336302222330359,0.22535584716102744,0.22721278676881065,0.25418522576742536,0.2719790854408771,0.2784399889598164,0.2923038217557382,0.30387341278263286,0.30821633706741697,0.27308677735773823,0.30371450114099285,0.31033560218690315,0.32264126318542263,0.35013971279693556,0.3787692424994481,0.4146638290037083,0.45509967802068857,0.4849571744097939,0.4934397084237654],"train_acc":[0.8566124129439379,0.9042259637319086,0.9237397140548473,0.9391720673031997,0.9515069562397278,0.9603018859627425,0.9673213392479235,0.971856224886353,0.9748080231746398,0.9759073893900166,0.9634872995717969,0.9680084431325341,0.9739505175266459,0.9794638390967607,0.9835837139888854,0.9870467175673224,0.9896632091599193,0.9918069732799041,0.993123464322818,0.993857291271582],"eval_acc":[0.8897353450408113,0.9035369774919614,0.9100173138758347,0.9109077417759089,0.9127627999010636,0.9144941874845411,0.9141973781845164,0.9146920603512243,0.9148899332179075,0.9152856789512738,0.9124907247093742,0.9122186495176848,0.9135295572594608,0.9135048231511254,0.9144694533762058,0.9147167944595598,0.9162255750680188,0.917116002968093,0.9160771704180064,0.9162750432846896]}
[Eval] Epoch:  11, Total:  40430, Accuracy : 0.9163, Loss: 0.5829
40430 37045 77.96347393095493
